property_type,sector,bedroom,bathroom,balcony,floorNum,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_score,price
0,88,3,2,2,2,0,1472.0,0,0,0,2,0.8
0,6,4,4,4,0,3,3063.8888888888887,1,0,2,0,2.6
0,44,2,2,3,1,1,625.1587301587301,0,0,0,1,0.65
0,17,3,3,4,2,1,2005.857142857143,1,0,0,2,2.85
1,52,5,5,4,2,0,1449.0,1,0,2,2,3.6
1,54,7,7,4,1,2,2403.0,1,1,2,0,4.95
0,61,4,6,3,2,3,2825.5714285714284,1,0,1,2,11.0
0,81,3,3,3,1,1,1750.0,1,0,0,2,1.6
0,1,5,6,4,0,3,9047.619047619046,1,0,0,1,7.5
0,87,4,3,3,2,3,1764.2857142857142,1,0,0,2,1.64
0,78,3,3,2,1,3,1454.857142857143,0,0,0,2,1.43
0,11,3,3,3,0,3,1550.0,0,0,0,2,1.7
0,111,2,2,2,2,3,743.0,0,0,0,1,0.3
0,27,3,4,3,2,3,2500.0,1,0,1,2,4.78
1,31,5,5,4,1,2,1350.0,0,0,0,1,4.5
0,78,2,1,1,0,3,666.6666666666666,0,0,0,1,0.6
0,92,2,2,3,2,1,1230.4761904761904,0,0,0,2,0.9
0,63,3,3,4,2,0,1809.5238095238092,1,0,2,1,1.55
0,75,2,2,1,2,1,888.8888888888889,0,0,0,2,0.56
0,14,2,2,1,1,1,555.5555555555555,0,0,2,1,0.22
1,53,3,9,4,2,3,1935.0,0,1,2,2,5.15
0,27,3,5,4,2,1,2795.7142857142853,1,0,0,2,4.63
0,78,4,4,2,2,3,1818.5714285714284,0,0,2,0,1.8
0,105,3,2,2,2,4,1140.9047619047617,0,0,0,1,0.61
0,95,2,2,2,2,0,1126.428571428571,0,0,0,1,0.87
0,107,2,2,2,1,1,632.2222222222222,0,0,2,1,0.45
